SUPPLIER PORTAL ENGAGEMENT — BOARD SUMMARY,,,,,,,
Prepared: April 9 2026 | Active Marketplace Suppliers Only,,,,,,,
,,,,,,,
SECTION 1: OVERALL LOGIN RATES,,,,,,,
Window,Suppliers Logged In,% of Active Suppliers,,,,
Last 7 days,35571,18.6%,,,,
Last 30 days,52990,27.7%,,,,
Last 90 days,72142,37.7%,,,,
Last 365 days,117658,61.5%,,,,
Total active suppliers,191262,—,,,,
,,,,,,,
SECTION 2: MONTHLY ACTIVE USERS (MAU) TREND — Apr 2025 to Mar 2026,,,,,,,
Month,Active Suppliers,MAU (Unique Logins),MAU Rate,,,
Apr 2025,133956,41786,31.2%,,,
May 2025,139173,43314,31.1%,,,
Jun 2025,144293,43061,29.8%,,,
Jul 2025,149184,44117,29.6%,,,
Aug 2025,153580,44751,29.1%,,,
Sep 2025,157908,43539,27.6%,,,
Oct 2025,161632,44224,27.2%,,,
Nov 2025,166429,42992,25.7%,,,
Dec 2025,170750,42906,25.0%,,,
Jan 2026,176561,47139,26.6%,,,
Feb 2026,182090,47687,26.1%,,,
Mar 2026,189443,52734,27.8%,,,
,,,,,,,
SECTION 3: LOGIN FREQUENCY DISTRIBUTION (Mar 2026),,,,,,,
Logins per Month,Suppliers,% of All Active,,,,
0 (no login),136936,72%,,,,
1–2,16022,8%,,,,
3–5,9702,5%,,,,
6–10,8238,4%,,,,
10+,18545,10%,,,,
,,,,,,,
SECTION 4: LOGIN RATES BY SUPPLIER SEGMENT,,,,,,,
Segment,Suppliers,L30 Login Rate,,,,
Leisure Brand,449,63%,,,,
Scale Seeker,43216,62%,,,,
Heritage Preserver,1512,50%,,,,
Independent Creator,114993,21%,,,,
Unclear,31092,7%,,,,
,,,,,,,
SECTION 5: LOGIN RATES BY MANAGED / CONNECTED STATUS,,,,,,,
Type,Suppliers,% of Total,L30 Login Rate,,,
Managed + Connected,4030,2%,84%,,,
Managed + Non-Connected,5543,3%,63%,,,
Non-Managed + Connected,19124,10%,57%,,,
Non-Managed + Non-Connected,162565,85%,22%,,,
,,,,,,,
SECTION 6: GMV DISTRIBUTION — PERCENTILES (L365),,,,,,,
Metric,p10,p25,p50 (Median),p75,p90,p95,p99
GMV (EUR),€255,€948,€5022,€30571,€144540,€331879,€1533516
Total platform GMV (L365),€4600000000,,,,,
Suppliers with GMV,50550,,,,,
Mean GMV per transacting supplier,€91098,,,,,
,,,,,,,
SECTION 7: LOGIN RATES BY GMV BAND,,,,,,,
GMV Band,Suppliers,GMV (EUR millions),GMV Share,L7 Login Rate,L30 Login Rate,L90 Login Rate
No GMV,140712,€0,0%,4.4%,10.6%,20.1%
€1–€948 (below p25),12635,€4.8M,0.1%,31.4%,52.5%,71.2%
€948–€5k (p25–p50),12641,€31.2M,0.7%,48.6%,69.9%,84.7%
€5k–€31k (p50–p75),12636,€172.5M,3.7%,67.4%,84.4%,93.3%
€31k–€145k (p75–p90),7582,€522.9M,11.4%,81.0%,92.8%,97.4%
€145k–€1.5M (p90–p99),4550,€1909M,41.5%,90.5%,97.3%,99.2%
€1.5M+ (top 1%),506,€1964M,42.7%,96.4%,99.2%,99.8%
,,,,,,,
SECTION 8: LOGIN RATES BY BOOKINGS BAND,,,,,,,
Bookings Band (L365),Suppliers,L7 Login Rate,L30 Login Rate,L90 Login Rate,,
No bookings,141236,4.5%,10.8%,20.3%,,
1–13 (p25–p50),19282,36.0%,57.5%,75.6%,,
14–121 (p50–p75),15343,62.1%,80.8%,90.9%,,
122–758 (p75–p90),9253,78.9%,90.7%,96.0%,,
759–9.3k (p90–p99),5533,88.0%,96.1%,98.7%,,
9.3k+ (top 1%),615,95.4%,98.9%,99.8%,,
,,,,,,,
SECTION 9: BOOKINGS DISTRIBUTION — PERCENTILES (L365),,,,,,,
Metric,p10,p25,p50 (Median),p75,p90,p95,p99
Bookings,0,1,14,122,759,1956,9317
,,,,,,,
DATA SOURCES & METHODOLOGY,,,,,,,
Table,Catalog / Schema,Description,,,,
production.supply_analytics.dim_supplier_summary,production.supply_analytics,Supplier master data — current snapshot,,,,
production.supply_analytics.fact_supplier_history,production.supply_analytics,Daily supplier snapshot partitioned by date,,,,
production.dwh.fact_booking,production.dwh,Booking-level fact table — GMV aggregated from gmv column (EUR),,,,
,,,,,,,
FILTERS APPLIED,,,,,,,
Filter,Value,Reason,,,,
gyg_status,active,Excludes deleted / deactivated suppliers,,,,
supplier_type,Marketplace,Excludes T&T (GYG own-inventory),,,,
is_fraud,FALSE,Excludes fraudulent transactions from GMV,,,,
gmv,> 0,Excludes cancelled / zero-value bookings from GMV aggregation,,,,
,,,,,,,
CAVEATS,,,,,,,
1. Login is the only engagement signal available. Richer behavioural data (page views / feature usage) planned for end of April 2026.,,,,,,,
2. 74% of active suppliers have zero GMV / bookings in the last 365 days — likely dormant or newly registered.,,,,,,,
3. GMV from fact_booking.gmv (EUR at checkout). Does not apply booking status filter beyond gmv > 0 and is_fraud = FALSE.,,,,,,,
4. Causality is unclear — correlation between GMV and login rate does not imply direction of effect.,,,,,,,
